Date,Daily_Closing,Weekly_average,Monthly_average,Weekly_var,Monthly_var
2019-12-05,166.1,163.85,164.52,149.87,149.87
2019-12-06,161.5,163.22,165.49,114.19,114.19
2019-12-09,160.5,162.61,166.39,78.93,78.93
2019-12-10,159.7,162.35,167.48,25.33,25.33
2019-12-11,161.8,162.46,167.13,25.46,25.46
2019-12-12,173.35,164.62,167.18,26.01,26.01
2019-12-13,176.7,165.66,167.14,25.31,25.31
2019-12-16,174.95,166.93,167.14,25.26,25.26
2019-12-17,180.2,169.6,167.41,30.19,30.19
2019-12-18,174.8,171.64,167.5,31.33,31.33
2019-12-19,179.15,174.42,167.65,34.3,34.3
2019-12-20,175.95,176.44,167.8,36.14,36.14
2019-12-23,176.05,176.83,168.04,38.38,38.38
2019-12-24,175.5,176.66,168.15,39.74,39.74
2019-12-26,174.6,176.61,168.29,40.95,40.95
2019-12-27,176.15,176.03,168.59,42.94,42.94
2019-12-30,183.7,177.3,169.09,50.55,50.55
2019-12-31,185.15,178.16,169.59,59.14,59.14
2020-01-01,184.45,179.37,170.15,66.31,66.31
2020-01-02,193.75,181.9,171.03,84.46,84.46
2020-01-03,191.1,184.13,171.93,95.88,95.88
2020-01-06,185.65,185.71,172.7,98.59,98.59
2020-01-07,184.7,186.93,173.32,101.64,101.64
2020-01-08,182.55,186.76,173.96,100.76,100.76
2020-01-09,192.0,187.74,174.83,108.95,108.95
2020-01-10,196.35,189.44,175.88,120.3,120.3
2020-01-13,196.25,189.8,177.04,126.08,126.08
2020-01-14,195.85,190.48,178.2,128.06,128.06
2020-01-15,200.35,192.58,179.61,129.14,129.14
2020-01-16,197.55,194.41,180.55,135.73,135.73
2020-01-17,197.3,196.52,181.59,137.1,137.1
2020-01-20,195.0,196.95,182.7,128.1,128.1
2020-01-21,191.4,196.24,183.73,112.61,112.61
2020-01-22,185.6,194.72,184.6,92.04,92.04
2020-01-23,188.4,193.66,185.48,73.81,73.81
2020-01-24,186.5,191.68,185.92,68.57,68.57
2020-01-27,182.2,189.49,186.1,66.08,66.08
2020-01-28,176.1,186.46,186.14,65.24,65.24
2020-01-29,188.05,185.46,186.41,64.07,64.07
2020-01-30,186.2,184.72,186.79,59.28,59.28
2020-01-31,176.6,183.44,186.7,60.84,60.84
2020-02-03,163.85,179.93,186.3,74.69,74.69
2020-02-04,165.7,176.96,185.95,85.58,85.58
2020-02-05,183.75,177.18,186.23,81.9,81.9
2020-02-06,178.85,177.57,186.37,79.09,79.09
